------------------------------------------------------------
 Mass vs r
------------------------------------------------------------
r, Mass
                 0.1,                    0
            0.109091,            0.0181818
            0.118182,            0.0363636
            0.127273,            0.0545455
            0.136364,            0.0727273
            0.145455,            0.0909091
            0.154545,             0.109091
            0.163636,             0.127273
            0.172727,             0.145455
            0.181818,             0.163636
            0.190909,             0.181818
                 0.2,                  0.2
            0.209091,             0.218182
            0.218182,             0.236364
            0.227273,             0.254545
            0.236364,             0.272727
            0.245455,             0.290909
            0.254545,             0.309091
            0.263636,             0.327273
            0.272727,             0.345455
            0.281818,             0.363636
            0.290909,             0.381818
                 0.3,                  0.4
            0.309091,             0.418182
            0.318182,             0.436364
            0.327273,             0.454545
            0.336364,             0.472727
            0.345455,             0.490909
            0.354545,             0.509091
            0.363636,             0.527273
            0.372727,             0.545455
            0.381818,             0.563636
            0.390909,             0.581818
                 0.4,                  0.6
            0.409091,             0.618182
            0.418182,             0.636364
            0.427273,             0.654545
            0.436364,             0.672727
            0.445455,             0.690909
            0.454545,             0.709091
            0.463636,             0.727273
            0.472727,             0.745455
            0.481818,             0.763636
            0.490909,             0.781818
                 0.5,                  0.8
            0.509091,             0.818182
            0.518182,             0.836364
            0.527273,             0.854545
            0.536364,             0.872727
            0.545455,             0.890909
            0.554545,             0.909091
            0.563636,             0.927273
            0.572727,             0.945455
            0.581818,             0.963636
            0.590909,             0.981818
                 0.6,                    1
            0.609091,              1.01818
            0.618182,              1.03636
            0.627273,              1.05455
            0.636364,              1.07273
            0.645455,              1.09091
            0.654545,              1.10909
            0.663636,              1.12727
            0.672727,              1.14545
            0.681818,              1.16364
            0.690909,              1.18182
                 0.7,                  1.2
            0.709091,              1.21818
            0.718182,              1.23636
            0.727273,              1.25455
            0.736364,              1.27273
            0.745455,              1.29091
            0.754545,              1.30909
            0.763636,              1.32727
            0.772727,              1.34545
            0.781818,              1.36364
            0.790909,              1.38182
                 0.8,                  1.4
            0.809091,              1.41818
            0.818182,              1.43636
            0.827273,              1.45455
            0.836364,              1.47273
            0.845455,              1.49091
            0.854545,              1.50909
            0.863636,              1.52727
            0.872727,              1.54545
            0.881818,              1.56364
            0.890909,              1.58182
                 0.9,                  1.6
            0.909091,              1.61818
            0.918182,              1.63636
            0.927273,              1.65455
            0.936364,              1.67273
            0.945455,              1.69091
            0.954545,              1.70909
            0.963636,              1.72727
            0.972727,              1.74545
            0.981818,              1.76364
            0.990909,              1.78182
                   1,                  1.8

------------------------------------------------------------
 Mass vs r
------------------------------------------------------------
r, Mass
                 0.1,                    0
            0.109091,            0.0319782
            0.118182,            0.0632962
            0.127273,             0.094017
            0.136364,             0.124194
            0.145455,             0.153871
            0.154545,             0.183088
            0.163636,             0.211878
            0.172727,             0.240271
            0.181818,             0.268293
            0.190909,             0.295966
                 0.2,             0.323312
            0.209091,             0.350348
            0.218182,             0.377092
            0.227273,             0.403559
            0.236364,             0.429763
            0.245455,             0.455715
            0.254545,             0.481429
            0.263636,             0.506913
            0.272727,             0.532179
            0.281818,             0.557236
            0.290909,             0.582091
                 0.3,             0.606752
            0.309091,             0.631228
            0.318182,             0.655524
            0.327273,             0.679647
            0.336364,             0.703603
            0.345455,             0.727398
            0.354545,             0.751036
            0.363636,             0.774524
            0.372727,             0.797865
            0.381818,             0.821065
            0.390909,             0.844126
                 0.4,             0.867054
            0.409091,             0.889853
            0.418182,             0.912524
            0.427273,             0.935073
            0.436364,             0.957502
            0.445455,             0.979815
            0.454545,              1.00201
            0.463636,               1.0241
            0.472727,              1.04608
            0.481818,              1.06796
            0.490909,              1.08973
                 0.5,               1.1114
            0.509091,              1.13297
            0.518182,              1.15445
            0.527273,              1.17583
            0.536364,              1.19713
            0.545455,              1.21833
            0.554545,              1.23944
            0.563636,              1.26047
            0.572727,              1.28141
            0.581818,              1.30227
            0.590909,              1.32305
                 0.6,              1.34374
            0.609091,              1.36436
            0.618182,              1.38491
            0.627273,              1.40537
            0.636364,              1.42577
            0.645455,              1.44609
            0.654545,              1.46634
            0.663636,              1.48652
            0.672727,              1.50663
            0.681818,              1.52667
            0.690909,              1.54664
                 0.7,              1.56655
            0.709091,               1.5864
            0.718182,              1.60618
            0.727273,               1.6259
            0.736364,              1.64556
            0.745455,              1.66516
            0.754545,              1.68469
            0.763636,              1.70417
            0.772727,              1.72359
            0.781818,              1.74296
            0.790909,              1.76227
                 0.8,              1.78152
            0.809091,              1.80072
            0.818182,              1.81986
            0.827273,              1.83895
            0.836364,              1.85799
            0.845455,              1.87698
            0.854545,              1.89591
            0.863636,               1.9148
            0.872727,              1.93363
            0.881818,              1.95242
            0.890909,              1.97116
                 0.9,              1.98985
            0.909091,              2.00849
            0.918182,              2.02709
            0.927273,              2.04564
            0.936364,              2.06415
            0.945455,              2.08261
            0.954545,              2.10102
            0.963636,               2.1194
            0.972727,              2.13773
            0.981818,              2.15601
            0.990909,              2.17426
                   1,              2.19246


